response_id,survey_date,satisfaction_score,reason_for_rating,feature_feedback,improvement_suggestions,feedback_text
CS201,2023-04-12,5,Easy to use interface,Comments about Mobile app,Suggestions for Mobile app,Easy to use interface - Mobile app feedback.
CS202,2023-04-13,3,Missing features,Comments about Customer support,Suggestions for Customer support,Missing features - Customer support feedback.
CS203,2023-06-17,3,Performance problems,Comments about Reporting,Suggestions for Reporting,Performance problems - Reporting feedback.
CS204,2023-04-26,5,Great Performance functionality,Comments about Performance,Suggestions for Performance,Great Performance functionality - Performance feedback.
CS205,2023-06-25,3,Integration issues,Comments about Email integration,Suggestions for Email integration,Integration issues - Email integration feedback.
CS206,2023-06-27,3,Issues with API,Comments about API,Suggestions for API,Issues with API - API feedback.
CS207,2023-05-08,3,Integration issues,Comments about Reporting,Suggestions for Reporting,Integration issues - Reporting feedback.
CS208,2023-05-30,4,Excellent customer support,Comments about Dashboard,Suggestions for Dashboard,Excellent customer support - Dashboard feedback.
CS209,2023-06-14,3,Issues with Customer support,Comments about Customer support,Suggestions for Customer support,Issues with Customer support - Customer support feedback.
CS210,2023-06-24,4,Excellent customer support,Comments about API,Suggestions for API,Excellent customer support - API feedback.
CS211,2023-06-20,4,Recent improvements to Search functionality,Comments about Search functionality,Suggestions for Search functionality,Recent improvements to Search functionality - Search functionality feedback.
CS212,2023-05-11,3,Integration issues,Comments about Search functionality,Suggestions for Search functionality,Integration issues - Search functionality feedback.
CS213,2023-05-31,4,Great Mobile app functionality,Comments about Mobile app,Suggestions for Mobile app,Great Mobile app functionality - Mobile app feedback.
CS214,2023-05-06,4,Great Mobile app functionality,Comments about Mobile app,Suggestions for Mobile app,Great Mobile app functionality - Mobile app feedback.
CS215,2023-05-02,4,Recent improvements to Calendar sync,Comments about Calendar sync,Suggestions for Calendar sync,Recent improvements to Calendar sync - Calendar sync feedback.
